"path","line","text"
"C:\Chartly2.0\services\analytics\internal\reports\templates\compliance_report.yaml","158","        **Sign-off (template placeholder)**"
"C:\Chartly2.0\services\analytics\internal\reports\templates\compliance_report.yaml","164","        _This is a placeholder section. The report engine only expands placeholders;"
"C:\Chartly2.0\services\analytics\internal\reports\templates\compliance_report.yaml","181","  placeholder_expectations:"
"C:\Chartly2.0\services\analytics\internal\reports\templates\executive_summary.yaml","4","# - This YAML file is a template catalog artifact for ROADMAP loading."
"C:\Chartly2.0\services\analytics\internal\reports\templates\executive_summary.yaml","150","  placeholder_expectations:"
"C:\Chartly2.0\services\analytics\internal\reports\templates\trend_analysis.yaml","171","  placeholder_expectations:"
"C:\Chartly2.0\services\auth\internal\rbac\roles.yaml","23","  updated_at: ""REPLACE_AT_BUILD_TIME"" # placeholder; a registry may override at runtime"
"C:\Chartly2.0\services\connector-hub\cmd\connector-hub\main.go","75","	// POST /ingest/execute (placeholder)"
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","25","    capabilities: [""discover"", ""ingest"", ""query_placeholder""]"
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","28","        notes: ""CKAN API base URL (placeholder)."""
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","41","    capabilities: [""ingest"", ""sync"", ""query_placeholder""]"
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","44","        notes: ""Public API base URL (placeholder)."""
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","57","    capabilities: [""ingest"", ""sync"", ""query_placeholder""]"
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","60","        notes: ""Public API base URL (placeholder)."""
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","76","        notes: ""DSN placeholder."""
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","93","        notes: ""S3 URI placeholder."""
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","111","        notes: ""HTTP path placeholder. Actual routing lives in service code."""
"C:\Chartly2.0\services\connector-hub\internal\connectors\s3.go","40","		// placeholder: assume ambient credentials"
"C:\Chartly2.0\services\gateway\api\router.go","90","	// Query (placeholder)"
"C:\Chartly2.0\services\gateway\api\router.go","93","	// Reports (placeholder)"
"C:\Chartly2.0\services\gateway\config\gateway.yaml","37","    mode: ""jwt""                  # jwt|oauth2 (roadmap)"
"C:\Chartly2.0\services\normalizer\cmd\normalizer\main.go","120","	// POST /normalize (placeholder)"
"C:\Chartly2.0\services\normalizer\config\normalizer.yaml","6","# - Sections marked ""ROADMAP"" are NOT implemented yet and MUST be treated as placeholders."
"C:\Chartly2.0\services\normalizer\config\normalizer.yaml","45","  # ROADMAP: gateway-style rate limiting / tenant-level quotas"
"C:\Chartly2.0\services\normalizer\config\normalizer.yaml","52","  # ROADMAP: declarative transform pipelines (rules + schema mappings)"
"C:\Chartly2.0\services\normalizer\config\normalizer.yaml","65","  # ROADMAP: output sinks for normalized artifacts (object store, db, event bus)"
"C:\Chartly2.0\services\normalizer\config\normalizer.yaml","72","  # ROADMAP: metrics/tracing (OTEL, Prometheus, etc.)"
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","6","# - Sections marked ""ROADMAP"" are NOT implemented yet and MUST be treated as placeholders."
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","10","  # env: local|dev|stage|prod (ROADMAP: file-based config loading)"
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","47","  # ROADMAP: gateway-style rate limiting / tenant-level quotas"
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","54","  # ROADMAP: cron/ticker scheduler to trigger jobs automatically."
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","66","  # ROADMAP: Redis-backed queue used to dispatch to connector-hub / workers."
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","76","  # ROADMAP: queue keys/streams"
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","82","  # ROADMAP: worker pool consuming from queue with bounded concurrency."
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","88","  # ROADMAP: job state tracking & retention policy."
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","99","    # ROADMAP: retry/backoff policy (used by consumer + dispatcher)"
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","109","  # ROADMAP: metrics/tracing (OTEL, Prometheus, etc.)"
"C:\Chartly2.0\services\storage\cmd\storage\main.go","334","// IMPORTANT: This is an in-memory store only (no persistence). It is safe for local/dev and placeholder use."
"C:\Chartly2.0\tests\unit\README.md","8","- `typescript/`  TypeScript unit tests (Jest/Vitest/etc; roadmap)"
"C:\Chartly2.0\tests\unit\README.md","9","- `python/`  Python unit tests (pytest; roadmap)"
"C:\Chartly2.0\tools\connector-tester\main.go","222","    // Deterministic placeholder plan: choose pagination mode based on profile ref content."
"C:\Chartly2.0\tools\connector-tester\main.go","275","    // SSRF/egress guardrails check (placeholder-level): reject obvious blocked destination markers in profile ref."
"C:\Chartly2.0\tools\migration-tool\README.md","127","### Required flags (roadmap)"
"C:\Chartly2.0\tools\profiler\main.go","105","    fs.StringVar(&cfg.CompareTo, ""compare-to"", """", ""Baseline id for regression comparison (roadmap)"")"
"C:\Chartly2.0\tools\profiler\main.go","107","    fs.StringVar(&include, ""include-metrics"", """", ""Comma-separated metric allowlist (roadmap)"")"
"C:\Chartly2.0\tools\profiler\main.go","180","// This placeholder returns stable data suitable for conformance tests."
"C:\Chartly2.0\tools\profiler\main.go","182","    // Deterministic placeholder contributors (no randomness)."
"C:\Chartly2.0\tools\profiler\main.go","226","        // Comparison is roadmap; we report transparently without pretending computation exists."
"C:\Chartly2.0\tools\profiler\main.go","227","        regression = ""roadmap"""
"C:\Chartly2.0\tools\profiler\main.go","268","            fmt.Printf(""CompareTo: %s (roadmap)\n"", out.Header.CompareTo)"
"C:\Chartly2.0\tools\profiler\validators\README.md","157","### Profiler exit code mapping (roadmap, 🛠)"
"C:\Chartly2.0\tools\profiler\validators\README.md","158","Validator aggregation is **roadmap**. When implemented, exit mapping MUST follow:"
"C:\Chartly2.0\tools\README.md","183","## Tool index (roadmap baseline)"
"C:\Chartly2.0\tools\schema-gen\main.py","526","        sp.add_argument(""--openapi"", default="""", help=""OpenAPI input path (JSON supported; YAML roadmap)"")"
"C:\Chartly2.0\tools\schema-gen\README.md","51","### Inputs (roadmap)"
"C:\Chartly2.0\tools\schema-gen\README.md","58","### Outputs (roadmap)"
"C:\Chartly2.0\tools\schema-gen\README.md","119","## Required flags (roadmap)"
"C:\Chartly2.0\web\src\components\connectors\ConnectorList.tsx","111","          placeholder=""search by id, name, kind"""
"C:\Chartly2.0\web\src\components\quarantine\QuarantineQueue.tsx","166","            placeholder=""search"""
"C:\Chartly2.0\web\src\components\reports\ReportBuilder.tsx","211","            placeholder=""Paste report JSON here"""
"C:\Chartly2.0\web\src\components\reports\ReportBuilder.tsx","266","                    placeholder=""optional"""
"C:\Chartly2.0\web\src\components\reports\ReportBuilder.tsx","275","                    placeholder=""data query identifier"""
"C:\Chartly2.0\web\src\pages\Audit.tsx","99","              placeholder=""e.g. 2026-01-01T00:00:00Z"""
"C:\Chartly2.0\web\src\pages\Connectors.tsx","45","        // These are placeholder endpoints (may not exist yet). Fail gracefully."
